probing 452 candidate IDs (Round 2)...
  HIT 1753002: *STA Girls 11 Green Ball Standings (Combined) | n=959 | Severance, Saige
  HIT 1753003: None | n=920 | Severance, Saige
  HIT 1753004: None | n=534 | Severance, Saige
  HIT 1753005: *STA Boys 11 Green Ball Standings (Combined) | n=1188 | Sachdev, Rahul
  HIT 1753006: None | n=1150 | Sachdev, Rahul
  HIT 1753007: None | n=619 | Sachdev, Rahul
  HIT 1753008: *STA Girls 10 Standings (Combined) | n=615 | Sciara, Adriana
  HIT 1753009: None | n=585 | Sciara, Adriana
  HIT 1753010: None | n=268 | Longmire, Mary Ellen
  HIT 1753011: *STA Boys 10 Standings (Combined) | n=845 | Robin, Charlie
  HIT 1753012: None | n=805 | Robin, Charlie
  HIT 1753013: None | n=339 | Kennedy, Jake
  HIT 1753015: None | n=1348 | Hrastar, Ava
  HIT 1753016: None | n=767 | Beck, Chloe
  HIT 1753018: None | n=1544 | Chopra, Keshav
  HIT 1753019: None | n=847 | Croyder, Blake
  HIT 1753021: None | n=1084 | Kurtz, Emma
  HIT 1753022: None | n=814 | Kurtz, Emma
  HIT 1753024: None | n=1410 | Huryn, Aleks
  HIT 1753025: None | n=1057 | Pratt, Jared
  HIT 1754500: Men's 35 Doubles | n=1 | Johnston, A /Grace, J
  HIT 1755500: 12Month Rolling Standing Nat Women's 75 Indiv.Dbls | n=66 | Steel, Suella
  HIT 1756000: None | n=248 | Armistead, Jackson
  HIT 1757500: Men's 70 Doubles | n=7 | Lapane, Leo
  HIT 1758000: None | n=815 | Kurtz, Emma
  HIT 1759500: YTD S Sr Womens 55 S | n=17 | Vick, Kathy
  HIT 2060000: Women's 3.5 Singles | n=16 | Veprek, Kim
  HIT 2060500: None | n=323 | Serra, Bruno
  HIT 2061000: Future Boys 14 doubles standings | n=6 | Frank, Elliott
  HIT 2061500: NTRP Men's 3.0 Singles | n=72 | Lamoureux, Robert
  HIT 2062000: *Boys' 12 Standings (Combined) | n=13 | Huston, JohnPaul
  HIT 2062500: *Girls 18 (Combined) | n=20 | Copeland, Nicole
  HIT 2063500: *Girls' 18 Ranking 2018 (Combined) | n=520 | Ma, Connie
  HIT 2064000: None | n=277 | Cairo, Alex
  HIT 2065500: Men's 35 Doubles | n=10 | Barcklow, Chris
  HIT 2066500: Standing List National Women's 65 Team Doubles | n=24 | Karwasky, T /Kirkland, M
  HIT 2067000: Men's 55 Doubles | n=5 | Kahn, A /Freischlag, W
  HIT 2067500: Men 80 Singles | n=6 | Ourusoff, Nicholas
  HIT 2068000: None | n=22 | Wilkinson, Owen
  HIT 2068500: Girls' 14 Singles | n=23 | Fuduric, Marina
  HIT 2069500: None | n=64 | Houston, Mary
  HIT 2070500: None | n=46 | Rabinowitz, M /Joshi, A
  HIT 2072408: None | n=150 | Quan, Rudy
  HIT 2072409: None | n=150 | Quan, Rudy
  HIT 2072410: None | n=150 | Woestendick, Cooper
  HIT 2072411: None | n=150 | Kim, John
  HIT 2072412: None | n=150 | Kim, John
  HIT 2072413: None | n=150 | Kim, Aidan
  HIT 2072414: None | n=149 | Fishback, Ryan
  HIT 2072415: None | n=149 | Fishback, Ryan
  HIT 2072416: None | n=150 | Heck, Hunter
  HIT 2072417: None | n=155 | Woldeab, Siem
  HIT 2072418: None | n=155 | Woldeab, Siem
  HIT 2072419: None | n=154 | Martin, Andres
  HIT 2072420: Girls 12 Doubles Seeding | n=639 | Perez, Natalia
  HIT 2072421: Girls 14 Doubles Seeding | n=1621 | Block, Natalie
  HIT 2072422: Girls 16 Doubles Seeding | n=1968 | Zamarripa, Maribella
  HIT 2072423: Girls 18 Doubles  Seeding | n=1961 | Subhash, Natasha
  HIT 2072424: Boys 12 Doubles Seeding | n=761 | Woestendick, Cooper
  HIT 2072425: Boys 14 Doubles Seeding | n=1823 | Kim, Aidan
  HIT 2072426: Boys 16 Doubles Seeding | n=2194 | Heck, Hunter
  HIT 2072427: Boys 18 Doubles Seeding | n=2242 | Martin, Andres
  HIT 2072428: Girls 12 Singles Seeding | n=789 | Ngounoue, Clervie
  HIT 2072429: Girls 14 Singles Seeding | n=2002 | Yu, Eleana
  HIT 2072430: Girls 16 Singles Seeding | n=2356 | Xu, Valencia
  HIT 2072431: Girls 18 Singles Seeding | n=2433 | Navarro, Emma
  HIT 2072432: Boys 12 Singles Seeding | n=874 | Quan, Rudy
  HIT 2072433: Boys 14 Singles Seeding | n=2100 | Kim, John
  HIT 2072434: Boys 16 Singles Seeding | n=2494 | Fishback, Ryan
  HIT 2072435: Boys 18 Singles Seeding | n=2677 | Woldeab, Siem
  HIT 2072436: *Girls 12 (Combined) | n=881 | Ngounoue, Clervie
  HIT 2072437: *Girls 12 (Combined) | n=796 | Ngounoue, Clervie
  HIT 2072438: *Girls 12 (Combined) | n=644 | Perez, Natalia
  HIT 2072439: *Girls 14 (Combined) | n=2226 | Yu, Eleana
  HIT 2072440: *Girls 14 (Combined) | n=2031 | Yu, Eleana
  HIT 2072441: *Girls 14 (Combined) | n=1649 | Block, Natalie
  HIT 2072442: *Girls 16 (Combined) | n=2704 | Zamarripa, Allura
  HIT 2072443: *Girls 16 (Combined) | n=2438 | Xu, Valencia
  HIT 2072444: *Girls 16 (Combined) | n=2046 | Zamarripa, Maribella
  HIT 2072445: *Girls 18 (Combined) | n=2677 | Navarro, Emma
  HIT 2072446: *Girls 18 (Combined) | n=2433 | Navarro, Emma
  HIT 2072447: *Girls 18 (Combined) | n=1961 | Subhash, Natasha
  HIT 2072449: *Boys 12 (Combined) | n=876 | Quan, Rudy
  HIT 2072450: *Boys 12 (Combined) | n=764 | Woestendick, Cooper
  HIT 2072451: *Boys 14 (Combined) | n=2396 | Kim, John
  HIT 2072452: *Boys 14 (Combined) | n=2106 | Kim, John
  HIT 2072453: *Boys 14 (Combined) | n=1831 | Kim, Aidan
  HIT 2072454: *Boys 16 (Combined) | n=2881 | Fishback, Ryan
  HIT 2072455: *Boys 16 (Combined) | n=2531 | Fishback, Ryan
  HIT 2072456: *Boys 16 (Combined) | n=2230 | Heck, Hunter
